animal_id,species,age,breed,previous_mastitis,lactation,milk_production,abnormal_milk,clots_flakes,watery_milk,color_change,udder_swelling,udder_heat,udder_pain,udder_redness,udder_hardness,somatic_cell_count,milk_conductivity,milk_ph,mastitis
BOV-1000,Cow,10,Sahiwal,No,8,decreased,No,Yes,No,No,Yes,Yes,Yes,Yes,No,867044,6.84,6.97,1
BOV-1001,Buffalo,5,Jafarabadi,Don't Know,4,normal,No,No,No,No,Yes,No,Yes,No,No,56087,5.12,6.45,0
BOV-1002,Cow,6,Jersey,Yes,4,normal,No,No,No,No,No,No,Don't Know,No,No,155739,5.29,6.61,0
BOV-1003,Cow,3,Holstein,No,1,normal,No,No,No,No,No,No,No,No,No,57055,5.26,6.53,0
BOV-1004,Cow,10,Sahiwal,No,8,normal,No,No,No,No,Yes,No,No,No,No,73008,4.84,6.58,0
BOV-1005,Cow,9,Gir,No,7,normal,No,No,No,No,No,No,No,No,No,174919,5.63,6.62,0
BOV-1006,Cow,4,Jersey,No,2,normal,No,No,No,No,No,No,No,No,No,82631,5.19,6.65,0
BOV-1007,Buffalo,10,Murrah,Don't Know,8,decreased,Yes,Yes,No,Yes,Yes,No,No,No,No,758746,7.09,7.08,1
BOV-1008,Cow,4,Crossbred,No,2,normal,No,No,No,No,No,No,No,No,No,146681,4.62,6.62,0
BOV-1009,Cow,10,Sahiwal,Yes,8,normal,Yes,No,No,No,No,No,Yes,Yes,Yes,1073262,7.36,7.38,1
BOV-1010,Cow,3,Jersey,No,2,normal,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1083359,6.86,7.11,1
BOV-1011,Buffalo,11,Local,Yes,8,decreased,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1636622,8.04,7.32,1
BOV-1012,Buffalo,10,Nili-Ravi,No,8,normal,No,No,No,No,No,No,No,No,No,170760,4.97,6.66,0
BOV-1013,Cow,9,Gir,No,7,decreased,No,No,No,No,No,No,No,No,No,56139,5.25,6.54,0
BOV-1014,Cow,10,Gir,No,8,normal,No,No,Yes,No,No,No,No,No,No,134752,5.58,6.59,0
BOV-1015,Cow,6,Crossbred,No,4,decreased,No,No,No,No,No,No,No,No,No,122728,5.77,6.61,0
BOV-1016,Cow,3,Crossbred,Don't Know,2,decreased,No,No,Yes,Yes,Yes,Yes,Yes,No,No,2040618,6.85,7.01,1
BOV-1017,Cow,9,Holstein,No,7,decreased,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,2381886,6.7,7.06,1
BOV-1018,Cow,7,Holstein,No,5,normal,No,No,No,Yes,No,No,Don't Know,No,No,101286,4.89,6.69,0
BOV-1019,Cow,9,Crossbred,Yes,8,decreased,No,No,Yes,No,Yes,Yes,No,No,Yes,1430917,8.61,6.98,1
BOV-1020,Cow,6,Crossbred,Don't Know,5,decreased,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,840988,7.44,7.13,1
BOV-1021,Cow,11,Sahiwal,Don't Know,8,normal,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1794912,8.01,7.21,1
BOV-1022,Cow,3,Gir,No,2,normal,No,No,No,No,No,No,No,No,No,124370,5.63,6.52,0
BOV-1023,Cow,7,Holstein,Yes,5,normal,No,No,No,No,No,No,No,No,No,133609,5.23,6.51,0
BOV-1024,Cow,6,Gir,Yes,5,normal,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,967924,7.9,7.11,1
BOV-1025,Buffalo,6,Jafarabadi,Yes,5,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1052595,7.14,7.37,1
BOV-1026,Cow,2,Crossbred,Yes,1,normal,No,No,No,No,Yes,No,No,No,No,185599,4.99,6.61,0
BOV-1027,Cow,3,Sahiwal,No,2,normal,No,No,No,No,No,No,Don't Know,No,No,173682,5.71,6.7,0
BOV-1028,Cow,9,Jersey,Don't Know,8,normal,Yes,Yes,Yes,No,Yes,Don't Know,No,No,Yes,563826,8.03,7.19,1
BOV-1029,Cow,4,Sahiwal,No,3,normal,No,No,No,No,No,No,Don't Know,No,No,92414,4.93,6.49,0
BOV-1030,Cow,11,Sahiwal,Yes,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2321508,7.42,7.07,1
BOV-1031,Cow,4,Gir,No,3,normal,No,No,No,No,No,No,Don't Know,No,No,192802,5.72,6.54,0
BOV-1032,Cow,9,Sahiwal,Yes,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Don't Know,Yes,Yes,2304771,8.25,6.96,1
BOV-1033,Buffalo,9,Jafarabadi,Yes,7,decreased,Yes,Yes,No,No,Yes,No,Yes,No,Yes,2002802,7.3,6.98,1
BOV-1034,Buffalo,3,Nili-Ravi,No,1,decreased,No,No,No,No,No,Don't Know,Don't Know,No,No,69877,5.45,6.59,0
BOV-1035,Buffalo,9,Nili-Ravi,No,8,normal,No,No,No,No,Yes,Don't Know,No,No,No,131284,5.73,6.42,0
BOV-1036,Cow,2,Holstein,No,1,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1884395,8.17,7.32,1
BOV-1037,Cow,7,Gir,Don't Know,5,normal,No,No,No,No,No,No,Yes,No,No,70924,4.65,6.41,0
BOV-1038,Cow,9,Holstein,No,7,decreased,Yes,No,Yes,Yes,Yes,No,Yes,No,No,774522,6.64,7.13,1
BOV-1039,Cow,4,Jersey,No,3,normal,No,No,No,No,No,No,No,No,No,52429,5.38,6.42,0
BOV-1040,Cow,9,Gir,No,7,decreased,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,909164,7.15,7.11,1
BOV-1041,Cow,2,Jersey,No,1,normal,Yes,No,No,No,No,Don't Know,No,No,No,114396,5.48,6.56,0
BOV-1042,Cow,10,Gir,Yes,8,decreased,Yes,Yes,Yes,No,Yes,Don't Know,Yes,No,No,646244,7.36,7.38,1
BOV-1043,Buffalo,10,Murrah,No,8,normal,No,No,No,No,No,No,No,No,No,107743,5.08,6.67,0
BOV-1044,Cow,6,Sahiwal,Yes,5,normal,Yes,No,No,No,No,No,No,No,No,81204,5.65,6.57,0
BOV-1045,Cow,11,Crossbred,No,8,normal,No,No,No,No,No,No,Don't Know,No,No,115888,5.51,6.7,0
BOV-1046,Cow,5,Jersey,No,3,normal,No,No,No,No,No,No,No,No,No,131985,5.07,6.64,0
BOV-1047,Cow,7,Sahiwal,No,6,normal,No,No,No,No,No,Don't Know,No,No,No,88354,4.86,6.48,0
BOV-1048,Cow,8,Gir,No,6,decreased,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,1880318,7.48,7.14,1
BOV-1049,Cow,6,Sahiwal,No,4,decreased,No,No,No,No,No,Don't Know,No,No,No,96045,4.84,6.43,0
BOV-1050,Buffalo,11,Murrah,Yes,8,decreased,No,No,No,No,No,No,No,No,No,150601,5.22,6.46,0
BOV-1051,Buffalo,10,Local,Yes,8,decreased,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1648919,7.41,7.28,1
